YYYYMM,Total Primary Energy Consumption (Quadrillion BTU)
197301,7.223873
197302,6.592366
197303,6.521439
197304,5.941729
197305,6.07194
197306,5.802683
197307,5.951909
197308,6.191657
197309,5.773515
197310,6.174862
197311,6.519033
197312,6.886904
197401,6.904043
197402,6.3143
197403,6.370767
197404,5.861066
197405,5.864485
197406,5.642248
197407,5.985353
197408,6.015502
197409,5.711198
197410,6.182018
197411,6.235546
197412,6.842659
197501,7.056118
197502,6.168996
197503,6.383482
197504,5.797914
197505,5.491667
197506,5.435627
197507,5.669107
197508,5.744318
197509,5.498393
197510,5.908704
197511,5.850411
197512,6.926691
197601,7.312324
197602,6.393452
197603,6.391633
197604,5.855319
197605,5.793322
197606,5.824544
197607,6.024682
197608,5.970726
197609,5.739519
197610,6.244598
197611,6.729925
197612,7.658479
197701,7.852451
197702,6.654863
197703,6.573861
197704,5.979305
197705,5.997456
197706,6.08589
197707,6.195785
197708,6.300623
197709,6.080223
197710,6.272418
197711,6.485295
197712,7.442248
197801,7.721485
197802,7.052381
197803,6.965503
197804,6.169931
197805,6.337994
197806,6.149904
197807,6.34019
197808,6.496081
197809,6.087552
197810,6.425237
197811,6.685469
197812,7.474491
197901,8.092205
197902,7.410205
197903,7.150421
197904,6.28742
197905,6.346644
197906,6.14307
197907,6.276536
197908,6.492996
197909,6.052908
197910,6.54322
197911,6.679042
197912,7.337632
198001,7.565016
198002,7.123145
198003,7.021907
198004,6.158453
198005,6.00737
198006,5.872463
198007,6.135448
198008,6.063599
198009,5.970443
198010,6.31659
198011,6.420238
198012,7.363795
198101,7.639252
198102,6.484509
198103,6.60621
198104,5.875206
198105,5.93955
198106,5.995702
198107,6.208435
198108,6.112916
198109,5.820751
198110,6.144075
198111,6.13831
198112,7.088566
198201,7.448166
198202,6.471248
198203,6.544007
198204,6.040586
198205,5.602379
198206,5.572673
198207,5.835852
198208,5.818627
198209,5.549273
198210,5.726507
198211,5.978943
198212,6.458452
198301,6.907502
198302,6.065647
198303,6.431871
198304,5.869679
198305,5.692724
198306,5.677988
198307,5.941322
198308,6.128631
198309,5.699808
198310,5.701452
198311,5.935601
198312,6.863357
198401,7.654075
198402,6.623097
198403,6.858673
198404,6.270456
198405,6.170762
198406,6.026485
198407,6.155513
198408,6.323114
198409,5.761176
198410,5.960973
198411,6.100793
198412,6.666436
198501,7.377254
198502,6.880264
198503,6.577553
198504,6.10613
198505,6.005352
198506,5.88048
198507,6.187443
198508,6.256987
198509,5.759
198510,6.026246
198511,6.059118
198512,7.219105
198601,7.395548
198602,6.620399
198603,6.775964
198604,6.109551
198605,6.099383
198606,6.015826
198607,6.354208
198608,6.223701
198609,5.818638
198610,6.039911
198611,6.119265
198612,7.027262
198701,7.472334
198702,6.729068
198703,6.767036
198704,6.313868
198705,6.199256
198706,6.280222
198707,6.626659
198708,6.514555
198709,6.123881
198710,6.362769
198711,6.342057
198712,7.277377
198801,7.800316
198802,7.308187
198803,7.296746
198804,6.449806
198805,6.390836
198806,6.507738
198807,6.74603
198808,6.988178
198809,6.340877
198810,6.586707
198811,6.704226
198812,7.54036
198901,7.638754
198902,7.229609
198903,7.541178
198904,6.660421
198905,6.635388
198906,6.693823
198907,6.856059
198908,7.028178
198909,6.480976
198910,6.790632
198911,6.940303
198912,8.245458
199001,7.809229
199002,7.003709
199003,7.305262
199004,6.767827
199005,6.746032
199006,6.75604
199007,7.032228
199008,7.27916
199009,6.613362
199010,6.806996
199011,6.771694
199012,7.542279
199101,8.073919
199102,6.862151
199103,7.139158
199104,6.536525
199105,6.654742
199106,6.697962
199107,7.098771
199108,7.112438
199109,6.657673
199110,6.858579
199111,7.00625
199112,7.683272
199201,7.983356
199202,7.243262
199203,7.348601
199204,6.841695
199205,6.698111
199206,6.715207
199207,7.159824
199208,7.029227
199209,6.682167
199210,6.901625
199211,7.078626
199212,8.044431
199301,7.906822
199302,7.419789
199303,7.81162
199304,6.902824
199305,6.645595
199306,6.843164
199307,7.307744
199308,7.333215
199309,6.81506
199310,6.98306
199311,7.280565
199312,8.017693
199401,8.584499
199402,7.742173
199403,7.663456
199404,6.979174
199405,6.886151
199406,7.161979
199407,7.390638
199408,7.472467
199409,6.881232
199410,7.070611
199411,7.148132
199412,8.004
199501,8.220876
199502,7.595767
199503,7.741174
199504,7.105602
199505,7.150661
199506,7.231931
199507,7.626026
199508,7.917373
199509,7.1356
199510,7.224254
199511,7.572342
199512,8.410367
199601,8.776628
199602,8.104034
199603,8.191761
199604,7.361871
199605,7.463082
199606,7.446033
199607,7.75782
199608,7.869461
199609,7.147226
199610,7.617365
199611,7.7957
199612,8.404839
199701,8.823698
199702,7.787027
199703,7.98514
199704,7.523066
199705,7.476438
199706,7.465953
199707,8.090945
199708,7.909847
199709,7.412823
199710,7.677179
199711,7.749808
199712,8.606322
199801,8.607432
199802,7.644974
199803,8.168632
199804,7.510096
199805,7.574494
199806,7.714748
199807,8.276433
199808,8.225676
199809,7.61507
199810,7.608851
